real_name,func,func_sd,ei
gen=0_member=0,-1.5672,0,0
gen=0_member=1,-0.0395462,0,0
gen=0_member=2,-2.34519,0,0
gen=0_member=3,-0.545487,0,0
gen=0_member=4,-0.641278,0,0
gen=0_member=5,-0.143216,0,0
gen=0_member=6,-1.52029,0,0
gen=0_member=7,-0.87221,0,0
gen=0_member=8,-2.35354,0,0
gen=0_member=9,-1.97106,0,0
gen=0_member=10,-0.649303,0,0
gen=0_member=11,-1.45782,0,0
gen=0_member=12,-0.834204,0,0
gen=0_member=13,-0.383134,0,0
gen=0_member=14,-2.21762,0,0
gen=0_member=15,-0.894612,0,0
gen=0_member=16,-0.389984,0,0
gen=0_member=17,-1.11442,0,0
gen=0_member=18,-0.454371,0,0
gen=0_member=19,-1.0784,0,0
gen=0_member=20,-0.110906,0,0
gen=0_member=21,-0.190871,0,0
gen=0_member=22,-0.948332,0,0
gen=0_member=23,-0.925768,0,0
gen=0_member=24,-0.199065,0,0
gen=0_member=25,-1.19482,0,0
gen=0_member=26,-0.0494782,0,0
gen=0_member=27,-1.38488,0,0
gen=0_member=28,-0.199246,0,0
gen=0_member=29,-1.23433,0,0
gen=0_member=30,-0.0568569,0,0
gen=0_member=31,-0.327154,0,0
gen=0_member=32,-1.77277,0,0
gen=0_member=33,-1.99106,0,0
gen=0_member=34,-1.30108,0,0
gen=0_member=35,-0.493232,0,0
gen=0_member=36,-2.81549,0,0
gen=0_member=37,-1.71892,0,0
gen=0_member=38,-0.615485,0,0
gen=0_member=39,-1.43442,0,0
gen=0_member=40,-2.48403,0,0
gen=0_member=41,-1.6986,0,0
gen=0_member=42,-1.21511,0,0
gen=0_member=43,-1.02341,0,0
gen=0_member=44,-2.04897,0,0
gen=0_member=45,-2.07567,0,0
gen=0_member=46,-0.7821,0,0
gen=0_member=47,-0.644623,0,0
gen=0_member=48,-0.322331,0,0
gen=0_member=49,-0.231926,0,0
gen=0_member=50,-0.172402,0,0
gen=0_member=51,-0.595854,0,0
gen=0_member=52,-0.758961,0,0
gen=0_member=53,-0.910699,0,0
gen=0_member=54,-0.573103,0,0
gen=0_member=55,-0.943768,0,0
gen=0_member=56,-0.942742,0,0
gen=0_member=57,-2.70027,0,0
gen=0_member=58,-1.17335,0,0
gen=0_member=59,-0.094052,0,0
gen=0_member=60,-1.69647,0,0
gen=0_member=61,-0.411758,0,0
gen=0_member=62,-1.77501,0,0
gen=0_member=63,-1.61479,0,0
gen=0_member=64,-0.947009,0,0
gen=0_member=65,-1.52735,0,0
gen=0_member=66,-1.57692,0,0
gen=0_member=67,-0.176002,0,0
gen=0_member=68,-2.90361,0,0
gen=0_member=69,-1.13461,0,0
gen=0_member=70,-0.0563775,0,0
gen=0_member=71,-1.48752,0,0
gen=0_member=72,-1.24106,0,0
gen=0_member=73,-0.643138,0,0
gen=0_member=74,-2.25418,0,0
gen=0_member=75,-2.93514,0,0
gen=0_member=76,-1.4291,0,0
gen=0_member=77,-1.41341,0,0
gen=0_member=78,-0.673618,0,0
gen=0_member=79,-0.204375,0,0
gen=0_member=80,-0.208792,0,0
gen=0_member=81,-0.947174,0,0
gen=0_member=82,-0.40996,0,0
gen=0_member=83,-0.974343,0,0
gen=0_member=84,-1.50785,0,0
gen=0_member=85,-1.39408,0,0
gen=0_member=86,-1.77964,0,0
gen=0_member=87,-0.70618,0,0
gen=0_member=88,-0.460982,0,0
gen=0_member=89,-1.67437,0,0
gen=0_member=90,-0.0351938,0,0
gen=0_member=91,-1.83735,0,0
gen=0_member=92,-0.700974,0,0
gen=0_member=93,-0.111082,0,0
gen=0_member=94,-1.70073,0,0
gen=0_member=95,-1.67471,0,0
gen=0_member=96,-1.35101,0,0
gen=0_member=97,-0.716721,0,0
gen=0_member=98,-0.798704,0,0
gen=0_member=99,-1.41957,0,0
