real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
gen=0_training=0,1.05918,-4.67082,0.750137,-4.43143,2.64137,4.73675,5.65573,1.51457,-4.55425,-1.03483,2.63461,2.28769,-4.28971,0.801146,4.95288,-4.30466,6.52534,0.18823,9.17879,9.94847
gen=0_training=1,0.286456,8.94182,-3.84493,7.35373,2.68185,-3.47984,7.17068,4.6503,5.64438,2.34994,9.36214,-2.39534,5.20615,6.14826,0.560388,1.30642,5.36869,1.4627,6.52639,6.08816
gen=0_training=2,9.15559,-3.541,-4.68818,2.80596,1.54919,-0.90591,0.96088,-4.79836,3.27979,0.824155,4.24462,-2.60114,-0.149093,-4.94161,-2.03346,-3.29657,0.572899,7.09725,8.31231,-3.82871
gen=0_training=3,9.43167,4.29128,9.60119,-0.75388,-2.40461,8.07416,0.712529,9.96421,-1.54965,0.966826,-4.61758,1.19166,2.90816,3.8289,7.09001,8.66966,-2.47746,-1.91545,2.5059,8.73662
gen=0_training=4,4.77372,-0.297859,8.6863,4.62625,7.29565,9.81357,1.86588,2.03057,-2.56699,7.64151,8.43028,3.9743,9.59329,1.14534,3.15973,-1.39374,-4.68187,6.04017,-3.23043,0.119062
gen=0_training=5,1.03149,-2.81207,0.381899,5.39501,-0.813015,1.23564,8.23045,6.93276,-1.09495,4.70893,9.09154,4.95942,-1.33688,5.9223,0.808847,-2.89857,7.07031,3.17366,-1.82676,-3.0673
gen=0_training=6,9.74086,-0.639528,2.86521,-2.50321,3.87197,6.57783,-1.0285,-4.15947,-1.5568,6.93121,4.06001,6.5704,5.66034,-1.76362,7.22157,9.33387,-4.02489,8.87079,-2.05854,-2.77768
gen=0_training=7,2.98933,6.45072,-0.574973,-1.29843,4.57519,4.69473,-4.81331,-0.0801982,9.02777,0.630907,-1.21654,1.63226,-0.0956171,1.64572,-2.84504,0.5726,-1.58979,7.13143,-0.168224,9.73918
gen=0_training=8,7.93424,2.97687,0.875073,-1.79065,6.26009,8.51746,-2.42208,-4.90713,-3.02966,7.47671,-1.41577,6.21373,5.40981,-2.78989,-3.33877,1.04536,0.591108,9.15741,9.25039,-4.42307
gen=0_training=9,4.82588,9.45493,2.1832,5.02772,2.35825,9.21065,-1.13346,1.19805,8.14485,-3.82662,8.75457,6.13369,0.871257,0.299554,5.09503,7.01094,-4.87776,4.87841,8.91539,5.51272
gen=0_training=10,-3.13364,-3.60843,8.70807,2.2374,-3.91824,9.78814,-1.00675,8.36485,4.16533,-3.27979,4.12242,8.17565,5.50889,2.2324,0.126726,8.89853,-4.24632,3.71995,-0.197892,-4.55113
gen=0_training=11,3.17525,3.99852,7.34853,-2.72602,-1.52003,-0.515511,-2.57505,5.26917,0.317588,-2.9602,5.57118,4.9172,5.91536,6.6266,-4.7309,3.07736,9.69259,1.90259,5.34001,-3.2538
gen=0_training=12,3.69862,-2.30202,4.82618,-1.37822,3.63493,-2.8808,7.18928,6.775,-3.62291,0.867704,1.74001,-1.12707,6.98162,2.84755,3.17396,7.8959,4.76432,-4.48225,-0.210894,-3.1714
gen=0_training=13,6.38977,-0.0730722,5.67732,5.29925,4.20957,-4.89781,-1.9636,-0.368756,2.46258,9.55528,8.19808,6.63643,4.05097,2.98386,7.7629,5.74116,5.23144,3.80901,4.88195,6.96199
gen=0_training=14,-4.63823,5.23542,2.27965,-1.54082,7.26734,3.83922,-0.734865,6.50432,-0.740664,-4.01516,4.376,-2.35341,9.8685,7.59047,6.88415,-3.60186,5.44488,2.15921,7.70486,-2.1121
gen=0_training=15,-4.85925,4.70486,8.53508,3.02852,9.49923,9.55109,4.93241,2.9498,-1.71047,-4.52552,-1.39224,7.4634,-2.45829,7.3128,5.08261,-2.32472,-2.90809,-0.360734,3.54787,1.63197
gen=0_training=16,5.98547,-3.73296,5.74625,6.30142,7.27301,9.93197,-1.32486,5.08875,-1.10221,5.27548,9.12944,0.586618,4.38036,-2.89584,2.50724,-2.43929,-0.814346,-2.49526,7.66751,4.61371
gen=0_training=17,0.945331,2.954,2.94653,0.284258,-2.45721,8.21183,6.10269,7.73065,7.83346,1.91434,-0.286009,8.79295,4.96839,8.57437,0.76843,8.16961,-4.03186,8.01245,1.56164,5.67173
gen=0_training=18,-3.70215,-3.14566,5.56708,5.00106,2.36686,2.30128,6.54451,9.63702,9.99137,5.55743,3.15447,-3.17333,0.0306371,8.52098,4.38607,1.45153,-1.43957,0.252638,9.40535,-2.91064
gen=0_training=19,6.56867,3.20697,0.280871,-0.173147,3.2489,8.25648,1.21103,0.825471,0.427809,1.54573,3.39225,-0.437799,0.610942,5.45586,1.82532,1.42825,9.30661,-2.74613,8.32897,3.785
gen=0_training=20,1.59122,-0.755878,-4.24443,6.68117,-2.25417,-2.02979,-2.36978,-2.69052,9.52975,8.96039,-0.0248206,7.37718,-2.28741,8.32056,8.85662,5.19153,1.80377,3.91864,0.417915,-3.34744
gen=0_training=21,-3.92797,-2.53573,-1.3384,2.95493,5.08871,-4.31494,0.826592,6.09022,0.232758,-3.16157,-1.68091,1.16748,4.24328,0.376684,5.81638,0.507917,6.24875,5.15017,2.72937,8.38329
