real_name,func,func_sd,func_var,func_var_sd,ei
gen=0_training=0,1135070.0,0,0,0,0
gen=0_training=1,2531760.0,0,0,0,0
gen=0_training=2,1737660.0,0,0,0,0
gen=0_training=3,3866640.0,0,0,0,0
gen=0_training=4,3408790.0,0,0,0,0
gen=0_training=5,1762950.0,0,0,0,0
gen=0_training=6,3305580.0,0,0,0,0
gen=0_training=7,1276890.0,0,0,0,0
gen=0_training=8,3049780.0,0,0,0,0
gen=0_training=9,3641160.0,0,0,0,0
gen=0_training=10,3207300.0,0,0,0,0
gen=0_training=11,1824750.0,0,0,0,0
gen=0_training=12,1241350.0,0,0,0,0
gen=0_training=13,2125530.0,0,0,0,0
gen=0_training=14,2397500.0,0,0,0,0
gen=0_training=15,2730560.0,0,0,0,0
gen=0_training=16,2680490.0,0,0,0,0
gen=0_training=17,3093350.0,0,0,0,0
gen=0_training=18,3290280.0,0,0,0,0
gen=0_training=19,1949350.0,0,0,0,0
gen=0_training=20,2884210.0,0,0,0,0
gen=0_training=21,637990.0,0,0,0,0
gen=0_training=22,1931270.0,0,0,0,0
gen=0_training=23,3487590.0,0,0,0,0
gen=0_training=24,1685140.0,0,0,0,0
gen=0_training=25,2727110.0,0,0,0,0
gen=0_training=26,2494570.0,0,0,0,0
gen=0_training=27,3596410.0,0,0,0,0
gen=0_training=28,1433640.0,0,0,0,0
gen=0_training=29,1379780.0,0,0,0,0
gen=0_training=30,2668630.0,0,0,0,0
gen=0_training=31,1071890.0,0,0,0,0
gen=0_training=32,2550390.0,0,0,0,0
gen=0_training=33,2243450.0,0,0,0,0
gen=0_training=34,2253240.0,0,0,0,0
gen=0_training=35,1746920.0,0,0,0,0
gen=0_training=36,2939850.0,0,0,0,0
gen=0_training=37,2562260.0,0,0,0,0
gen=0_training=38,1786400.0,0,0,0,0
gen=0_training=39,3283790.0,0,0,0,0
gen=0_training=40,3224090.0,0,0,0,0
gen=0_training=41,1433110.0,0,0,0,0
gen=0_training=42,2031220.0,0,0,0,0
gen=0_training=43,1551430.0,0,0,0,0
gen=0_training=44,2553540.0,0,0,0,0
gen=0_training=45,1356640.0,0,0,0,0
gen=0_training=46,2448350.0,0,0,0,0
gen=0_training=47,1982930.0,0,0,0,0
gen=0_training=48,1822410.0,0,0,0,0
gen=0_training=49,881756.0,0,0,0,0
gen=0_training=50,1895060.0,0,0,0,0
gen=0_training=51,3399390.0,0,0,0,0
gen=0_training=52,4034260.0,0,0,0,0
gen=0_training=53,3581800.0,0,0,0,0
gen=0_training=54,4158040.0,0,0,0,0
gen=0_training=55,2226460.0,0,0,0,0
gen=0_training=56,4171840.0,0,0,0,0
gen=0_training=57,1606180.0,0,0,0,0
gen=0_training=58,3386910.0,0,0,0,0
gen=0_training=59,1630700.0,0,0,0,0
gen=0_training=60,2918320.0,0,0,0,0
gen=0_training=61,2729480.0,0,0,0,0
gen=0_training=62,3229520.0,0,0,0,0
gen=0_training=63,3825520.0,0,0,0,0
gen=0_training=64,2220580.0,0,0,0,0
gen=0_training=65,3293890.0,0,0,0,0
gen=0_training=66,2211890.0,0,0,0,0
gen=0_training=67,2374530.0,0,0,0,0
gen=0_training=68,2230070.0,0,0,0,0
gen=0_training=69,2848580.0,0,0,0,0
gen=0_training=70,2449300.0,0,0,0,0
gen=0_training=71,1919720.0,0,0,0,0
gen=0_training=72,1973280.0,0,0,0,0
gen=0_training=73,2094600.0,0,0,0,0
gen=0_training=74,3357420.0,0,0,0,0
gen=0_training=75,1565230.0,0,0,0,0
gen=0_training=76,2950200.0,0,0,0,0
gen=0_training=77,2152020.0,0,0,0,0
gen=0_training=78,2734900.0,0,0,0,0
gen=0_training=79,2285830.0,0,0,0,0
gen=0_training=80,2396680.0,0,0,0,0
gen=0_training=81,3017790.0,0,0,0,0
gen=0_training=82,1546470.0,0,0,0,0
gen=0_training=83,1824850.0,0,0,0,0
gen=0_training=84,1486530.0,0,0,0,0
gen=0_training=85,2169590.0,0,0,0,0
gen=0_training=86,2439470.0,0,0,0,0
gen=0_training=87,1803220.0,0,0,0,0
gen=0_training=88,914879.0,0,0,0,0
gen=0_training=89,1620270.0,0,0,0,0
gen=0_training=90,1966180.0,0,0,0,0
gen=0_training=91,1730080.0,0,0,0,0
gen=0_training=92,1505620.0,0,0,0,0
gen=0_training=93,2383950.0,0,0,0,0
gen=0_training=94,3520510.0,0,0,0,0
gen=0_training=95,2491830.0,0,0,0,0
gen=0_training=96,3225280.0,0,0,0,0
gen=0_training=97,2520000.0,0,0,0,0
gen=0_training=98,1433160.0,0,0,0,0
gen=0_training=99,1479650.0,0,0,0,0
gen=0_training=100,3279220.0,0,0,0,0
gen=0_training=101,1391290.0,0,0,0,0
gen=0_training=102,3711390.0,0,0,0,0
gen=0_training=103,1042990.0,0,0,0,0
gen=0_training=104,2370770.0,0,0,0,0
gen=0_training=105,2660180.0,0,0,0,0
gen=0_training=106,1705350.0,0,0,0,0
gen=0_training=107,2230650.0,0,0,0,0
gen=0_training=108,3815010.0,0,0,0,0
gen=0_training=109,2520710.0,0,0,0,0
gen=0_training=110,1781150.0,0,0,0,0
gen=0_training=111,2154870.0,0,0,0,0
gen=0_training=112,1802320.0,0,0,0,0
gen=0_training=113,2633950.0,0,0,0,0
gen=0_training=114,1609340.0,0,0,0,0
gen=0_training=115,2153080.0,0,0,0,0
gen=0_training=116,3823080.0,0,0,0,0
gen=0_training=117,1740130.0,0,0,0,0
gen=0_training=118,3032490.0,0,0,0,0
gen=0_training=119,2844360.0,0,0,0,0
